date,AAPL,GOOGL,MSFT,SPY,EEM,XLF,XLE
2011-11-30 00:00:00+00:00,47.6432283222,300.6229943844,21.1700378698,106.3526732308,34.0254031471,8.9875821338,57.7347497388
2011-12-30 00:00:00+00:00,50.4853675314,323.9500026241,21.4845263136,107.4629948524,32.5617753775,9.179394922,56.5534313874
2012-01-31 00:00:00+00:00,56.9026186931,290.9531444841,24.4390624823,112.4465377212,36.1406526396,9.9243381253,57.8296262806
2012-02-29 00:00:00+00:00,67.6179821326,310.0821940275,26.4417341939,117.3273271289,38.0459542035,10.422143773,61.2573548718
2012-03-30 00:00:00+00:00,74.7370422307,321.612787866,26.870766743,121.1001957781,36.8572863359,11.1882825522,58.9201303217
2012-04-30 00:00:00+00:00,72.7961603234,303.3614477275,26.6708292444,120.2917717739,36.2307682541,10.9297372447,58.5013252142
2012-05-31 00:00:00+00:00,72.0170651454,291.3293056576,24.478387336,113.0675572683,32.35579683,9.9238897472,52.2520960609
2012-06-29 00:00:00+00:00,72.7986534279,290.9330825548,25.6524107094,117.6500455928,34.0049740036,10.4156324253,54.7605297329
2012-07-31 00:00:00+00:00,76.1344273419,317.4649839928,24.7131920106,119.0417911725,33.9919402842,10.4334247594,57.4667906569
2012-08-31 00:00:00+00:00,83.2796676084,343.6056778104,26.0168444643,122.0241031292,34.1309666248,10.7892714429,59.0179402109
2012-09-28 00:00:00+00:00,83.513142114,378.4181405479,25.1220405989,125.118184732,35.907897041,11.1416363093,60.8604657671
2012-10-31 00:00:00+00:00,74.5265644288,341.2020580665,24.0921719991,122.8412545104,35.7558369809,11.3626823716,59.6215427703
2012-11-30 00:00:00+00:00,73.6176470634,350.2662383226,22.657929138,123.5365003796,36.3075977703,11.263129457,58.8921453995
2012-12-31 00:00:00+00:00,66.9377336128,354.785187887,22.7385493104,124.6481208777,38.7812706371,11.787755803,59.4951595288
2013-01-31 00:00:00+00:00,57.2924105742,379.0149829432,23.3687828231,131.0288862818,38.6632216735,12.4997678985,64.4350404586
2013-02-28 00:00:00+00:00,55.8343723675,401.8404429516,23.8608389187,132.7006643232,37.7800405383,12.6508007673,64.7182714057
2013-03-29 00:00:00+00:00,55.9937545814,398.3235867534,24.5517732831,137.7400330931,37.3996605445,13.1399940561,66.3641755943
2013-04-30 00:00:00+00:00,56.0089338398,413.561625118,28.4098477773,140.3863438074,37.8543676636,13.4943098934,65.4939354907
2013-05-31 00:00:00+00:00,57.2685624724,436.9578470137,30.1602699549,143.7008259977,36.0224226357,14.3170298244,67.3599310975
2013-06-28 00:00:00+00:00,50.4935196887,441.548016427,29.8534821087,141.7809244697,34.0990377803,14.0885442699,65.8328292532
2013-07-31 00:00:00+00:00,57.6244734691,445.2494423743,27.5158451394,149.1077157916,34.5507393197,14.8456812595,69.2968299751
2013-08-30 00:00:00+00:00,62.451795106,424.7611971239,29.0699626835,144.6356332718,33.6739069196,14.0849216049,68.582169632
2013-09-30 00:00:00+00:00,61.1102535975,439.3111113152,28.9655197038,149.2178814146,36.096267136,14.4787118304,70.0336663379
2013-10-31 00:00:00+00:00,67.0004232322,516.8855762569,30.8150308027,156.1276791493,37.601938934,14.9587896907,72.9740852613
2013-11-29 00:00:00+00:00,71.6948961416,531.4354904481,33.4396771023,160.7549344447,37.5089415583,15.6243521787,73.0163205231
2013-12-31 00:00:00+00:00,72.3331066833,562.0901183478,32.8082433884,164.9178202473,37.3452325403,15.9752046122,75.1122275453
2014-01-31 00:00:00+00:00,64.5430701323,592.3134147685,33.1853496342,159.104755058,34.1240442807,15.3905676639,70.7587564425
2014-02-28 00:00:00+00:00,68.2526474579,609.7071074314,33.848933445,166.3465305857,35.2767024929,15.8582772225,74.3824058789
2014-03-31 00:00:00+00:00,69.6144838792,558.9805193135,36.2168567452,167.7289839145,36.6438087445,16.3863710671,75.9497241598
2014-04-30 00:00:00+00:00,76.5339098861,534.88,35.6955601978,168.8949519327,36.9297394638,16.1076413892,79.9407943267
2014-05-30 00:00:00+00:00,82.5586542335,571.65,36.4232567595,172.8143982709,38.0198503311,16.3496961095,81.2796789767
2014-06-30 00:00:00+00:00,84.8424705699,584.67,37.0994090589,176.3801421937,38.9320287891,16.7452404721,85.7566006643
2014-07-31 00:00:00+00:00,87.2801053102,579.55,38.398333213,174.0100227682,39.4633703802,16.5022356631,82.7838194026
2014-08-29 00:00:00+00:00,94.045131745,582.36,40.6675516573,180.8770607996,40.5800883006,17.2017949617,84.59147602
2014-09-30 00:00:00+00:00,92.4394831542,588.41,41.5000593183,178.3825499158,37.4280619124,17.1328432213,78.0350249376
2014-10-31 00:00:00+00:00,99.0914558874,567.87,42.0282093399,182.5836210335,37.9594035036,17.628268554,75.2794292656
2014-11-28 00:00:00+00:00,109.5916937094,549.08,43.0702627066,187.5995550835,37.3740271743,18.0423553992,68.7348895445
2014-12-31 00:00:00+00:00,101.7130341516,530.66,41.8450889505,187.1192698558,35.8812784842,18.3798106601,68.5772393322
2015-01-30 00:00:00+00:00,107.9606729588,537.55,36.3948674618,181.5750626289,35.6347031421,17.101473647,65.4498538598
